romanian;Romanian;;;;;;;;;;;;;x
cuman;Kazakh;;;;;;;;;;;;;x
karluk;Uzbek;;;;;;;;;;;;;x
arberian;Albanian;;;;;;;;;;;;;x
carantanian;Slovene;;;;;;;;;;;;;x
lettigallish;Latvian;;;;;;;;;;;;;x
PROV870;Abu Dhabi;;;;;;;;;;;;;x
PROV653;Qatar;;;;;;;;;;;;;x
PROV603;Chechnya;;;;;;;;;;;;;x
PROV1531;Bahrain;;;;;;;;;;;;;x
Finland;Finland;;;;;;;;;;;;;x
d_sarkel;Donbass;;;x
d_chernigov;Chernihiv;;;x
c_zvenyhodor;Lviv;;;x
k_ruthenia;Ukraine;;;x
alan;Chechen;;;x
k_alania;Chechnya;;;x
d_alania;Chechnya;;;x
BASILEUS_TITLE;President;;;x
BASILEUS_TITLE_FEMALE;President;;;x
levantine_arabic;Arab;;;x
egyptian_arabic;Egyptian;;;x
maghreb_arabic;Maghrebi;;;x
bedouin_arabic;Bedouin;;;x
american;American;;;x
black_american;Black American;;;x
american_group;American;;;x
latino_american;Latino-American;;;x
convert_to_feudalism_indep;Abandon Developing Status;;;x
convert_to_feudalism_indep_desc;Transition to a Developed Country.;;;x
convert_to_feudalism_vassal;Abandon Developing Status;;;x
convert_to_feudalism_vassal_desc;Transition to a Developed Country.;;;x

monothelite;Nationalist;;;x
monothelite_DESC;Nationalism is an idea and movement that holds that the nation should be congruent with the state. As a movement, it tends to promote the interests of a particular nation, especially with the aim of gaining and maintaining the nation's sovereignty over its perceived homeland to create a nation-state.;;;x

waldensian;Neo-Nazi;;;x
waldensian_DESC;Neo-Nazism comprises the post–World War II militant, social, and political movements that seek to revive and reinstate Nazi ideology. Neo-Nazis employ their ideology to promote hatred and racial supremacy (often white supremacy), attack racial and ethnic minorities (often antisemitism and Islamophobia), and in some cases to create a fascist state.;;;x
NAME_JEWS;the Jews;;;x

touareg_arabic;Tuareg;;;x
christian;Western;;;x

catholic;Liberal;;;x
catholic_DESC;Liberal democracy, or Western democracy, is the combination of a liberal political ideology that operates under a representative democratic form of government.;;;x

protestant;Conservative;;;x
protestant_DESC;Conservatives believe in the importance of stability, and promote law and order to protect private property..;;;x

reformed;Socialist;;;x
reformed_DESC;Social democracy has been described as the evolutionary form of democratic socialism that aims to gradually and peacefully achieve socialism through established political processes rather than social revolution as advocated by revolutionary socialists.;;;x

orthodox;Authoritarian;;;x
orthodox_DESC;Authoritarianism is a political system characterized by the rejection of political plurality, the use of strong central power to preserve the political status quo, and reductions in the rule of law, separation of powers, and democratic voting.;;;x

miaphysite;Authoritarian;;;x
miaphysite_DESC;Authoritarianism is a political system characterized by the rejection of political plurality, the use of strong central power to preserve the political status quo, and reductions in the rule of law, separation of powers, and democratic voting.;;;x


finnish_pagan;Nationalist;;;x
finnish_pagan_DESC;Nationalism is an idea and movement that holds that the nation should be congruent with the state. As a movement, it tends to promote the interests of a particular nation, especially with the aim of gaining and maintaining the nation's sovereignty over its perceived homeland to create a nation-state.;;;x

west_african_pagan;Nationalist;;;x
west_african_pagan_DESC;Nationalism is an idea and movement that holds that the nation should be congruent with the state. As a movement, it tends to promote the interests of a particular nation, especially with the aim of gaining and maintaining the nation's sovereignty over its perceived homeland to create a nation-state.;;;x


hindu;Hindu Nationalist;;;x
hindu_DESC;Nationalism is an idea and movement that holds that the nation should be congruent with the state. As a movement, it tends to promote the interests of a particular nation, especially with the aim of gaining and maintaining the nation's sovereignty over its perceived homeland to create a nation-state...;;;x

jewish;Liberal Nationalist;;;x
jewish_desc;Likud, officially known as Likud – National Liberal Movement, is a major centre-right to right-wing political party in Israel. It was founded in 1973 by Menachem Begin and Ariel Sharon in an alliance with several right-wing parties.;;;x
jewish_group_desc;Likud, officially known as Likud – National Liberal Movement, is a major centre-right to right-wing political party in Israel. It was founded in 1973 by Menachem Begin and Ariel Sharon in an alliance with several right-wing parties.;;;x


samaritan;Zionist;;;x
samaritan_desc;Zionism is a movement for (originally) the re-establishment and (now) the development and protection of a Jewish nation in what is now Israel.;;;;x

karaite;Ultra-Orthodox;;;x
karaite_desc;Haredi Judaism consists of groups within Orthodox Judaism that are characterized by their strict adherence to halakha and traditions, in opposition to modern values and practices.;;;x
