#tributary stuff
dependant;Dependant State;;;x
TRIBUTARY_DEPENDANT;Autonomous State;;;x
TRIBUTARY_DEPENDANT_PLURAL;Autonomous States;;;x

colony;Colony;;;x
TRIBUTARY_COLONY;Colony;;;x
TRIBUTARY_COLONY_PLURAL;Colonies;;;x
SUZERAIN_PATRON_NAME;Patron;;;x
TRIBUTARY_COLONY_TRIBUTE;Colony;;;x

occupied;Occupied State;;;x
TRIBUTARY_OCCUPIED;Occupied State;;;x
TRIBUTARY_OCCUPIED_PLURAL;Occupied States;;;x
SUZERAIN_PATRON_NAME;Patron;;;x
TRIBUTARY_OCCUPIED_TRIBUTE;Occupied State;;;x


puppet;puppet;;;x
TRIBUTARY_PUPPET;Puppet State;;;x
TRIBUTARY_PUPPET_PLURAL;Puppet States;;;x

nato;NATO;;;x
TRIBUTARY_NATO;NATO Member State;;;x
TRIBUTARY_NATO_TRIBUTE;Member State;;;x
TRIBUTARY_NATO_PLURAL;NATO Member States;;;x

#buildings
ca_officer_academy;Officer Academy;x
ca_officer_academy_desc;An Officer Academy provides you with a steady stream of competent personelle.;x

demo_elective;Democratic Tradition;;;x

#cbs
WAR_NAME_POWERFUL_VASSAL_TAKEOVER;$SECOND_ADJ$ Civil War;;;;;;;;;;;;x
powerful_vassal_takeover_war_desc;This country is going down the wrong path. I must seize power and correct things!;;;;;;;;;;;;x

CB_NAME_FUCK_YOU_DEMOCRACY;Install Democracy!;;;;;;;;;;;;;x
WAR_NAME_FUCK_YOU_DEMOCRACY;$ORDER$ $FIRST_ADJ$-$SECOND_ADJ$ Intervention;;;;;;;;;;;;;x
fuck_you_democracy_desc;The leader of this state does not act in your interests. Time to change that.;;;;;;;;;;;;;x

CB_NAME_FUCK_YOU_COLONIZE;Special Military Operation;;;x
WAR_NAME_FUCK_YOU_COLONIZE;$ORDER$ $FIRST_ADJ$ Special Military Operation;;;x
colony_war_desc;Our great country must be returned to its historical borders. We have exhausted all other means of solving this issue so we must make war!;;;x

CB_NAME_WW2;Nazi Invasion;;;x
WAR_NAME_WW2;$ORDER$ $FIRST_ADJ$ Nazi Invasion;;;x
nazi_war;Nazi Invasion;;;x
nazi_war_desc;Our great country must be expand its borders. We have exhausted all other means of solving this issue so we must make war!;;;x

CB_NAME_VIKING_INVASION;Neo-Nazi Invasion;;;x
WAR_NAME_VIKING_INVASION;$ORDER$ $FIRST_ADJ$ Neo-Nazi Invasion;;;x
viking_invasion;Neo-Nazi Invasion;;;x

colonial_war;Colonial War;;;x
CB_NAME_COLONIAL;$ORDER$ $FIRST_ADJ$ Colonial War;;;x
WAR_NAME_COLONIAL;Colonial Invasion;;;x

reclaim_war;Reclaim Territory;;;x
reclaim_war_desc;The so-called 'Islamic State' occupies your sovereign territory. You may fight to reclaim as much of it as you can. Be warned, if you fail they will take even more of your territory.;;;x
CB_NAME_RECLAIM;Anti-Terrorist Operation;;;x
WAR_NAME_RECLAIM;$ORDER$ $FIRST_ADJ$ Anti-Terrorist Operation;;;x

reclaim_pale_war;Reclaim Territory;;;x
reclaim_war_desc;Territory of the sovereign state of Palestine is currently being occupied by Israelis. You may fight to reclaim as much of it as you can. Be warned, if you fail they will take even more of your land!;;;x
CB_NAME_RECLAIM_PALESTINE;Reclaim Palestinian Territory;;;x
WAR_NAME_RECLAIM_PALESTINE;$ORDER$ $FIRST_ADJ$ Intifada;;;x


taliban_takeover;Taliban Takeover;;;x
