title_regent;Vice President;;;x
title_appointed_regent;Vice President;;;x
title_appointed_regent_desc;official or executive ranking below and deputizing for a president.;;;x
title_commander;General;;;x
title_keeper_of_swans;Economic Advisor;;;x
title_keeper_of_swans_desc;Economic Advisers is charged with advising the President on economic policy based on data, research, and evidence.;;;x
title_master_of_the_horse;Interior Minister;;;x
title_master_of_the_horse_desc;An interior minister is a cabinet official position that is responsible for internal affairs, such as public security, civil registration and identification, emergency management, supervision of regional and local governments, conduct of elections, public administration and immigration matters.;;;x
title_master_of_the_hunt;Military Advisor;;;x
title_master_of_the_hunt_desc;Military advisors or combat advisors are military personnel deployed to advise on military matters.;;;x


gov_electorial_aristocratic_monarchy;Unitary Parliamentary Republic;;;x
gov_electorial_aristocratic_monarchy_norse;Unitary Parliamentary Republic;;;x
gov_elective_muslim_aristocratic_monarchy;Islamic Republic;;;x
gov_hereditary_aristocratic_monarchy;Constitutional Monarchy;;;x
gov_electorial_despotic_monarchy;One Party State;;;x
gov_elective_muslim_despotic_monarchy;One Party State;;;x
gov_hereditary_despotic_monarchy;Hereditary Autocracy;;;x
gov_electorial_absolute_monarchy;Presidential Republic;;;x
gov_african_eldership;Military Dictatorship;;;x
gov_african_chiefdom;Military Dictatorship;;;x


france_help;Recieved French Assistance;;;x
d_islamic_sahel;Islamic State Sahel;;;x
title_auth_elector;Potential Successor;;;x
title_auth_elector;This person is one of few allowed to run for the presidency.;;;x
poor_army_culture_modifier;Poor Army Culture;;;x
poor_army_culture_modifier_desc;Be it corruption, low morale, or simply pacifistic nature, armies of this culture don't perform very well;;;x
SEC_GEN;Secretary-General;;;x
best_interests;Not My War;;;x
REPRES;Representative;;;x
OLIGARCH;Oligarch;;;x
ca_irregular_base;Irregular Force Base;;;x
ca_irregular_base_desc;A network of bases used by irregular forces to conduct operations.;;;x
ask_france_help;Ask for French Assistance;;;x
ask_france_help_desc;You may ask your former colonial master France for assistance in your wars.;;;x
ca_intricate_tunnel;Intricate Tunnels;;;x
ca_intricate_tunnel_desc;Deep, intricate web of underground tunnels used to smuggle and transport aid and weapons. Can make sieges difficult.;;;x
nazi_soldiers;Wehrmacht;;;x
ca_nazi_base;National Socialist Training Camp;;;x
ca_nazi_base_desc;A base to train, equip, and indoctrinate a new class of warrior.;;;x
ca_communications_center;Communications Center;x
ca_communications_center_desc;A site to monitor communications traffic across the country.;x
ca_central_bank;Central Bank;x
ct_central_bank;Central Bank;x
ca_central_bank_desc;A national bank that provides financial and banking services for its country's government and commercial banking system, as well as implementing the government's monetary policy and issuing currency..;x
ca_stock_market;Stock Market;x
ct_stock_market;Stock Market;x
ca_stock_market_desc;This market provides a place for traders to exchange shares and finance businesses in need of financial resources.;x
ca_reformed_civil_service;Reformed Civil Service;x
ct_reformed_civil_service;Reformed Civil Service;x
ca_reformed_civil_service_desc;A steady and unrelenting eye on the administrative apparatus keeps our civil service honest and effective.;x
ca_infrastructure_program;Infrastructure Program;x
ct_infrastructure_program;Infrastructure Program;x
ca_infrastructure_program_desc;Publicly funded program to advance the country's infrastructure and invest in its upkeep.;x
ca_trade_center;Trade Hub;;;x
ca_trade_center_desc;A center for trading goods between your people and the countries that neighbor you.;;;x
