#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced;Balanced war strategy;Stratégie de guerre équilibrée;Ausgewogene Kriegsstrategie;;Estrategia equilibrada de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced_desc;This character has opted for a balanced war strategy, conferring no benefits or penalties.;Ce personnage a opté pour une stratégie de guerre équilibrée, ne conférant aucun avantage ni pénalité.;Dieser Charakter hat sich für eine ausgewogene Kriegsstrategie entschieden, die keine Vorteile oder Strafen verleiht.;;Este personaje ha optado por una estrategia de guerra equilibrada, que no otorga beneficios ni sanciones.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack;Assault war strategy;Stratégie de guerre d'assaut;Angriffskriegsstrategie;;Estrategia de guerra de asalto;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack_desc;The artillery is readied, the garrisons left lightly armoured, and the men have been outfitted with heavy weaponry and drilled in the charge. This character clearly means to attack their opponents head on.;Les hommes ont été équipés d'armes lourdes, favorisant les cuirasses et les faunes sur l'armure arrière, et les moteurs de siège sont préparés. Ce personnage signifie clairement attaquer leurs adversaires en tête.;Die Männer sind mit schweren Waffen ausgestattet, begünstigen Kürassiere und Fappen über die Rückenpanzerung, und die Belagerungsmotoren sind vorbereitet. Dieser Charakter bedeutet eindeutig, um ihre Gegner anzugreifen.;;Los hombres han sido equipados con armamento pesado, favoreciendo las corazas y faulds sobre la armadura trasera, y los motores del asedio se preparan. Este personaje claramente significa atacar a sus oponentes de frente.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend;Defend war strategy;Stratégie de guerre défensive;Defensive Kriegsstrategie;;Estrategia de guerra defensiva;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend_desc;This character has called for trenches to be built, holdfasts to be made strong and men to stand fast. The enemy are most unwelcome on their land.;Ce personnage a ordonné que les holdfasts soient forts, que l'armure soit forgée d'épaisseur et que les hommes se tiennent debout. Les ennemis sont les plus indésirables sur leurs terres.;Dieser Charakter hat befohlen, dass die Festhalten stark gemacht werden, die Rüstung, um dick zu werden und die Männer schnell zu stehen. Der Feind ist auf ihrem Land am meisten unerwünscht.;;Este personaje ha ordenado que se hagan fuertes, que las armaduras sean forjadas y que los hombres se mantengan firmes. El enemigo no es bienvenido en su tierra.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick;Storm war strategy;Stratégie de guerre des tempêtes;Sturmkriegstrategie;;Estrategia de guerra de tormenta;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick_desc;Soldiers travel light and the quartermasters stock few provisions, but this is no enforced shortage. The men are equipped and drilled for one purpose: to stike deep into enemy heartlands in one crushing blow.;Les Warriors voyagent de la lumière et les quartermasters stockent peu de provisions, mais ce n'est pas une pénurie forcée. Les hommes sont équipés et forés dans un seul but: incliner profondément dans les champs de l'ennemi en un seul coup écrasant.;Krieger reisen Licht und die Quartiermeister haben nur wenige Bestimmungen, aber das ist kein erzwungener Mangel. Die Männer sind ausgerüstet und gebohrt für einen Zweck: tief in feindliche Herzfälle in einem zerquetschenden Schlag zu treten.;;Los guerreros viajan ligeros y los quartermasters almacenan pocas provisiones, pero esto no es una escasez forzada. Los hombres están equipados y perforados para un propósito: penetrar profundamente en las tierras enemigas en un golpe aplastante.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition;Organised war strategy;Stratégie de guerre organisée;Organisierte Kriegsstrategie;;Estrategia de guerra organizada;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition_desc;This character has focussed their war efforts on supply logistics and siege readiness, in preparation for a war of attrition.;Ce personnage a concentré ses efforts de guerre sur la logistique de l'approvisionnement et la préparation au siège, en prévision d'une guerre d'attrition.;Dieser Charakter hat sich auf die Kriegsbemühungen auf die Angebotslogistik und die Belagerungsbereitschaft konzentriert, um einen Abrisskrieg vorzubereiten.;;Este personaje ha centrado sus esfuerzos de guerra en la logística de suministro y la preparación para el asedio, en preparación para una guerra de desgaste.;;;;;;;;;x;,,,,,,,,,,
### DECISIONS ###
robmodcombat_battlefield_position_first;Select your battlefield position;Sélectionnez votre position de champ de bataille;Wähle deine Schlachtfeldposition;;Seleccione su campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_first_desc;Although all rulers are expected to put their lives at risk by fighting with their men, there are many different positions one can take on the battlefield. Each holds different levels of risk and prestige.;Bien que tous les dirigeants puissent mettre leur vie en danger en se battant avec leurs hommes, il existe de nombreuses positions différentes sur le champ de bataille. Chacun détient différents niveaux de risque et de prestige.;Obwohl alle Herrscher erwartet werden, ihr Leben in Gefahr zu setzen, indem sie mit ihren Männern kämpfen, gibt es viele verschiedene Positionen, die man auf dem Schlachtfeld nehmen kann. Jeder hält unterschiedliche Risiko und Prestige.;;Aunque se espera que todos los gobernantes pongan en peligro sus vidas luchando con sus hombres, hay muchas posiciones diferentes que uno puede tomar en el campo de batalla. Cada uno tiene diferentes niveles de riesgo y prestigio.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_position_cooldown_tt;Has not been forced to change battlefield position in the last 5 years;N'a pas été contraint de changer la position du champ de bataille au cours des 5 dernières années.;In den letzten 5 Jahren ist es nicht gezwungen worden, die Schlachtfeldposition zu ändern.;;No se ha visto obligado a cambiar de posición en el campo de batalla en los últimos 5 años.;;;;;;;;;x;,,,,,,,,,,
set_battlefield_position_tt;Call in your commanders and notify them as to what position you will be taking up on the battlefield;Appelez vos commandants et informez-les de la position que vous occuperez sur le champ de bataille;Rufen Sie Ihre Kommandanten an und benachrichtigen Sie, welche Position Sie auf dem Schlachtfeld nehmen werden;;Llame a sus comandantes y notifíqueles en cuanto a qué posición usted tomará en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change;Change your battlefield position;Changez votre position de champ de bataille;Ändern Sie Ihre Schlachtfeldposition;;Cambia tu posición en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change_desc;You may change your position on the battlefield any time you are at war. Useful if for any reason you want to protect yourself from harm, or conversely improve your chances of gaining glory on the battlefield.;Vous pouvez changer votre position sur le champ de bataille à tout moment. Utile si, pour quelque raison que ce soit, vous voulez vous protéger du mal ou, à l'inverse, améliorer vos chances de gagner la gloire sur le champ de bataille.;Sie können jederzeit Ihre Position auf dem Schlachtfeld ändern. Nützlich, wenn aus irgendeinem Grund du dich vor Schaden schützen willst, oder umgekehrt deine Chancen auf den Ruhm auf dem Schlachtfeld zu verbessern.;;Usted puede cambiar su posición en el campo de batalla en cualquier momento. Útil si por cualquier razón usted quiere protegerse de daño, o por el contrario mejorar sus posibilidades de ganar gloria en el campo de batalla.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy;Set your war strategy;Définissez votre stratégie de guerre;Setze deine Kriegsstrategie ein;;Defina su estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_desc;Defining your war strategy outfits your troops and other military apparatus to best suit your current situation. The various options will confer certain benefits to your armies, but each also has drawbacks.;Vous pouvez changer votre stratégie de guerre pour mieux répondre à votre situation actuelle. Les différentes options conféreront certains avantages à vos armées, mais elles présentent également des inconvénients.;Sie können Ihre Kriegsstrategie ändern, um Ihrer aktuellen Situation am besten zu entsprechen. Die verschiedenen Optionen verleihen Ihren Armeen gewisse Vorteile, aber jeder hat auch Nachteile.;;Puede cambiar su estrategia de guerra para que se adapte mejor a su situación actual. Las diversas opciones confieren ciertos beneficios a sus ejércitos, pero cada uno también tiene inconvenientes.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_cooldown_tt;Has NOT changed war stategy in the last year;N'a PAS changé la stratégie de guerre au cours de la dernière année;Hat im letzten Jahr die Kriegsstrategie nicht geändert;;NO ha cambiado la estrategia de guerra en el último año;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_liege_tt;Has NOT had your current war strategy set by your liege;N'a PAS eu votre stratégie de guerre fixée par votre liege;Hatte NICHT Ihre Kriegsstrategie von deinem Lied gesetzt;;NO ha tenido su estrategia de guerra establecida por su señor;;;;;;;;;x;,,,,,,,,,,
set_war_strategy_tt;Call in your commanders to discuss the war strategy;Appelez vos commandants pour discuter de la stratégie de guerre;Rufen Sie in Ihren Kommandanten auf, um die Kriegsstrategie zu besprechen;;Llame a sus comandantes para discutir la estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
### NICKNAMES ###
nick_the_warrior;the Warrior;le Guerrier;der Krieger;;el Guerrero;;;;;x
nick_swordarm;Sword-Arm;Bras à l'Épée;Schwertarm;;Brazo de Espada;;;;;x
nick_weakarm;Weak-Arm;Bras Faible;Schwacharm;;Brazo Débil;;;;;x
nick_the_leader;War-Leader;Chef de Guerre;Kriegsführer;;Líder de Guerra;;;;;x
nick_the_afraid;the Coward;le Lâche;der Feigling;;el cobarde;;;;;x
nick_the_timid;the Timid;le Timide;die Schüchterne;;el Tímido;;;;;x
### MODIFIERS ###
# CHARACTER #
robmodcombat_inspired_men;Inspirational charge;Charge inspiratoire;Inspirationsgebühr;;Carga inspiradora;;;;;;;;;x,,,,,,,,,,
robmodcombat_inspired_men_desc;[GetTitledFirstName] was an inspiration on the battlefield, and [GetHerHis] eager men flock to his banner.;[GetTitledFirstName] a été une source d'inspiration pour [GetHerHis] hommes sur le champ de bataille, et [GetHerHis] des troupes ont répondu.;[GetTitledFirstName] war eine Inspiration für [GetHerHis] Männer auf dem Schlachtfeld, und [GetHerHis] Truppen haben reagiert.;;[GetTitledFirstName] fue una inspiración para hombres [GetHerHis] en el campo de batalla, y las tropas [GetHerHis] han respondido.;;;;;;;;;x,,,,,,,,,,
robmodcombat_uninspired_men;Battle-coward;Lâche de la guerre;Schlachtfeig;;Cobardía;;;;;;;;;x,,,,,,,,,,
robmodcombat_uninspired_men_desc;[GetTitledFirstName] ran away from danger on the battlefield, and [GetHerHis] men have responded. Desertion rates are up and morale is low: no-one wants to fight for a coward;[GetTitledFirstName] s'est enfui du danger sur le champ de bataille, et [GetHerHis] les hommes ont répondu.;[GetTitledFirstName] lief weg von der Gefahr auf dem Schlachtfeld, und [GetHerHis] Männer haben reagiert.;;[GetTitledFirstName] escapó del peligro en el campo de batalla, y los hombres [GetHerHis] han respondido.;;;;;;;;;x,,,,,,,,,,
robmodcombat_position_cooldown;Battlefield position change forced;Changement de position du champ de bataille forcé;Schlachtfeld Positionsänderung gezwungen;;Cambio de posición en el campo de batalla forzado;;;;;;;;;x;,,,,,,,,,,
robmodcombat_position_cooldown_desc;You have been forced to change your position on the battlefield by virtue of your traits, and will be unable to amend it again until this modifier expires;Vous avez été obligé de changer votre position sur le champ de bataille en vertu de vos traits et ne pourrez pas l'modifier encore jusqu'à ce que ce modificateur expire;Sie wurden gezwungen, Ihre Position auf dem Schlachtfeld aufgrund Ihrer Eigenschaften zu ändern, und wird es nicht mehr ändern können, bis dieser Modifikator abläuft;;Te has visto obligado a cambiar tu posición en el campo de batalla en virtud de tus rasgos, y no podrás enmendarlo de nuevo hasta que este modificador expire;;;;;;;;;x;,,,,,,,,,,
robmodcombat_vanguard_praise;Valour in war;Valeur en guerre;Tapferkeit im Krieg;;Valor en la guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_vanguard_praise_desc;[GetTitledFirstName] is celebrated throughout the [PrimaryTitle.GetFullName] for [GetHerHis] glorious leadership during a recent war.;[GetTitledFirstName] est célébré à travers le [PrimaryTitle.GetFullName] pour [GetHerHis] leadership glorieux lors d'une guerre récente.;[GetTitledFirstName] wird während des letzten Krieges in der [PrimaryTitle.GetFullName] für [GetHerHis] glorreiche Führung gefeiert.;;[GetTitledFirstName] se celebra en todo el [PrimaryTitle.GetFullName] para [GetHerHis] glorioso liderazgo durante una guerra reciente.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_middle_criticism;Guarded during war;Gardé pendant la guerre;Während des Krieges bewacht;;Guardado durante la guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_middle_criticism_desc;Reports tell that [GetTitledFirstName] did little to distinguish [GetHerHim]self during a recent war, preferring instead to sit behind the front line with [GetHerHis] guard.;La rumeur a réussi à ce que [GetTitledFirstName] ait peu fait pour distinguer [GetHerHim] pendant une guerre récente, préférant plutôt s'asseoir derrière la ligne de front avec la garde [GetHerHis].;Gerüchten zufolge hat [getTitledFirstName] wenig getan, um [GetHerHim] Selbst während eines neuen Krieges zu unterscheiden, lieber stattdessen, hinter der Frontlinie mit [GetHerHis] Wache zu sitzen.;;Se rumorea que [GetTitledFirstName] poco hizo para distinguir [GetHerHim] a sí mismo durante una guerra reciente, prefiriendo en lugar de sentarse detrás de la línea de frente con [GetHerHis] guardia.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_rear_criticism;Guarded during war;Gardé pendant la guerre;Während des Krieges bewacht;;Guardado durante la guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_rear_criticism_desc;It is common knowledge that [GetTitledFirstName] spent most of the last war away from the front lines, watching the battles unfold before [GetHerHim] rather than fighting with [GetHerHis] men;Il est courant que [GetTitledFirstName] a passé la plus grande partie de la dernière guerre loin des lignes de front, en regardant les batailles se dérouler avant [GetHerHim] plutôt que de se battre avec des hommes [GetHerHis];Es ist allgemein bekannt, dass [GetTitledFirstName] den größten Teil des letzten Krieges von den Frontlinien weg verbracht hat, indem er die Schlachten vor [GetHerHim] aufklappe, anstatt mit [GetHerHis] Männern zu kämpfen;;Es sabido que [GetTitledFirstName] pasó la mayor parte de la última guerra lejos de las líneas de frente, viendo las batallas desplegarse antes de [GetHerHim] en lugar de pelear con hombres [GetHerHis];;;;;;;;;x;,,,,,,,,,,
# PROVINCE # 
robmodcombat_province_attack;Supporting an offensive war effort;Dépouillé de défenses pour l'effort de guerre;Abgezogen von Verteidigung für die Kriegsanstrengung;;Despojado de defensas para el esfuerzo de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_province_attack_desc;This province has been systematically stripped of military hardware to support its liege's offensive war strategy;Cette province a été systématiquement dépouillée de matériel militaire pour soutenir la stratégie de guerre offensive de son liege;Diese Provinz wurde systematisch von militärischer Hardware befreit, um die offensivkriegsstrategie ihres lieges zu unterstützen;;Esta provincia ha sido sistemáticamente despojado de hardware militar para apoyar la estrategia de su guerra de guerra ofensiva;;;;;;;;;x;,,,,,,,,,,
robmodcombat_province_defend;Defences strengthened;Défenses renforcées;Verteidigung verstärkt;;Fortalecimiento de las defensas;;;;;;;;;x;,,,,,,,,,,
robmodcombat_province_defend_desc;The villages and fortresses in this province have been strengthened in anticipation of assault by the enemy;Les villages et les forteresses de cette province ont été renforcés en prévision d'agression par l'ennemi;Die Dörfer und Festungen in dieser Provinz wurden in Erwartung des Angriffs durch den Feind gestärkt;;Los pueblos y fortalezas de esta provincia se han fortalecido en previsión del asalto del enemigo;;;;;;;;;x;,,,,,,,,,,
# TRIGGERED # 
robmodcombat_not_in_command;Not at the war front;Pas au front de guerre;Nicht an der Kriegsfront;;No en el frente de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_not_in_command_desc;[GetTitledFirstName] is a primary participant in a war, but is not commanding [GetHerHis] troops. [GetHerHisCap] vassals resent the absence, and [GetHerHis] men wonder why they should put their lives at risk for [PrimaryTitle.GetBaseName] when [GetSheHe] will not [GetHerHim]self;[GetTitledFirstName] est un participant principal dans une guerre, mais se deigne pour commander des troupes [GetHerHis]. [GetHerHisCap] les vassaux se ressentent de l'absence et les hommes [GetHerHis] se demandent pourquoi ils devraient mettre leur vie à risque pour [GetHerHim] lorsque [GetSheHe] ne le fera pas [GetHerHim];[GetTitledFirstName] ist ein primärer Teilnehmer in einem Krieg, aber entscheidet sich, [GetHerHis] Truppen zu befehlen. [GetHerHisCap] Vasallen ärgern die Abwesenheit, und [GetHerHis] Männer fragen sich, warum sie ihr Leben in Gefahr bringen sollten [GetHerHim], wenn [GetSheHe] das nicht tun wird [GetHerHim] selbst;;[GetTitledFirstName] es un participante primario en una guerra, pero se digna a mandar [GetHerHis] tropas. [GetHerHisCap] los vasallos resienten la ausencia, y los hombres [de GetHerHis] se preguntan porqué deben poner sus vidas en riesgo para [GetHerHim] cuando [GetSheHe] no lo hará [GetHerHim] uno mismo;;;;;;;;;x;,,,,,,,,,,
# OPINION #
opinion_robmodcombat_warhero;War hero;Héros de guerre;Kriegsheld;;Héroe de guerra;;;;;;;;;x;,,,,,,,,,,
opinion_robmodcombat_risk;Reckless in war;Imprudent en guerre;Rücksichtslos im Krieg;;Imprudente en la guerra;;;;;;;;;x;,,,,,,,,,,
opinion_robmodcombat_coward;Cowardly in war;Lâche dans la guerre;Feige im Krieg;;Cobarde en la guerra;;;;;;;;;x;,,,,,,,,,,
### DEATH ###
DEATH_ROBMODCOMBAT_PERSONAL_COMBAT;was killed on the battlefield in personal combat against;a été tué sur le champ de bataille dans un combat personnel contre;wurde auf dem Schlachtfeld im persönlichen Kampf gegen getötet;;fue asesinado en el campo de batalla en combate personal contra;;;;;;;;;x;
### EVENTS ###
# DYNAMIC COMBAT EVENTS #
EVTDESC_ROBMODCOMBAT_10001;Today's battle against [From.GetTitledName]'s men has been fierce and bloody, and you have been on the front-line throughout. Countless men have fallen to your blade, and as the day draws to a close you are covered in the blood of your vanquished foes. Men shall speak of your deeds on the battlefield today for a long time to come.;La lutte contre [From.GetTitledName] aujourd'hui a été féroce et sanglante, et vous avez été en première ligne tout au long. D'innombrables hommes sont tombés dans votre épée, et au fur et à mesure que le jour se termine, vous êtes couvert par le sang de vos ennemis vaincus. Les hommes parleront de vos actes sur le champ de bataille aujourd'hui pour un long moment à venir.;Der Kampf gegen [From.GetTitledName] heute war heftig und blutig, und du warst überall auf der Front. Unzählige Männer sind zu deinem Schwert gefallen, und wie der Tag zu einem Ende zieht, bist du im Blut deiner besiegten Feinde bedeckt. Die Menschen sollen heute noch lange über deine Taten auf dem Schlachtfeld sprechen.;;La lucha contra [From.GetTitledName] hoy ha sido feroz y sangrienta, y has estado en la línea de frente en todas partes. Incontables hombres han caído a tu espada, y como el día llega a su fin están cubiertos en la sangre de sus enemigos vencidos. Los hombres hablarán de tus hechos en el campo de batalla hoy por mucho tiempo por venir.;;;;;;;;;x
